"carid","brand","model","accel","topspeed","range","efficiency","fastcharge","rapidcharge","powertrain","plugtype","bodystyle","segment","seats","priceeuro","TopSpeedKPH"
53,"Opel","Mokka-e","8.5 sec",150,"255 km","176 Wh/km","390 km/h","Rapid charging possible","FWD","Type 2 CCS","SUV","B",5,35000,150
59,"Citroen","e-C4","9.7 sec",150,"250 km","180 Wh/km","380 km/h","Rapid charging possible","FWD","Type 2 CCS","SUV","C",5,40000,150
67,"Nissan","e-NV200 Evalia","14.0 sec",123,"190 km","200 Wh/km","190 km/h","Rapid charging possible","FWD","Type 1 CHAdeMO","SPV","N",7,33246,123
6,"Lucid","Air","2.8 sec",250,"610 km","180 Wh/km","620 km/h","Rapid charging possible","AWD","Type 2 CCS","Sedan","F",5,105000,250
10,"Audi","Q4 e-tron","6.3 sec",180,"400 km","193 Wh/km","540 km/h","Rapid charging possible","AWD","Type 2 CCS","SUV","D",5,55000,180
24,"Audi","e-tron GT","3.5 sec",240,"425 km","197 Wh/km","850 km/h","Rapid charging possible","AWD","Type 2 CCS","Sedan","F",4,125000,240
40,"Mercedes","EQA","5.0 sec",200,"350 km","171 Wh/km","440 km/h","Rapid charging possible","AWD","Type 2 CCS","SUV","C",5,45000,200
20,"Mini","Cooper SE","7.3 sec",150,"185 km","156 Wh/km","260 km/h","Rapid charging possible","FWD","Type 2 CCS","Hatchback","B",4,31681,150
21,"Opel","Corsa-e","8.1 sec",150,"275 km","164 Wh/km","420 km/h","Rapid charging possible","FWD","Type 2 CCS","Hatchback","B",5,29146,150
30,"Peugeot","e-2008 SUV","8.5 sec",150,"250 km","180 Wh/km","380 km/h","Rapid charging possible","FWD","Type 2 CCS","SUV","B",5,34361,150
35,"Mazda","MX-30","9.0 sec",150,"180 km","178 Wh/km","240 km/h","Rapid charging possible","FWD","Type 2 CCS","SUV","C",5,32646,150
44,"Skoda","CITIGOe iV","12.3 sec",130,"195 km","166 Wh/km","170 km/h","Rapid charging possible","FWD","Type 2 CCS","Hatchback","A",4,24534,130
45,"SEAT","Mii Electric","12.3 sec",130,"195 km","166 Wh/km","170 km/h","Rapid charging possible","FWD","Type 2 CCS","Hatchback","A",4,20129,130
47,"Opel","Ampera-e","7.3 sec",150,"335 km","173 Wh/km","210 km/h","Rapid charging possible","FWD","Type 2 CCS","MPV","B",5,41906,150
75,"Sono","Sion","9.0 sec",140,"225 km","156 Wh/km","270 km/h","Rapid charging possible","FWD","Type 2 CCS","Hatchback","C",5,25500,140
69,"Renault","Kangoo Maxi ZE 33","22.4 sec",130,"160 km","194 Wh/km","-","Rapid charging not possible","FWD","Type 2","SPV","N",5,38000,130
76,"Kia","e-Niro 39 kWh","9.8 sec",155,"235 km","167 Wh/km","230 km/h","Rapid charging possible","FWD","Type 2 CCS","SUV","C",5,34400,155
82,"Tesla","Model X Performance","2.8 sec",250,"440 km","216 Wh/km","480 km/h","Rapid charging possible","AWD","Type 2","SUV","F",7,102990,250
88,"Audi","e-tron Sportback 50 quattro","6.8 sec",190,"295 km","219 Wh/km","470 km/h","Rapid charging possible","AWD","Type 2 CCS","SUV","E",5,69551,190
